Time (s),Heater Duty Cycle,Temperature (C)
1151.279,0,44.25
1152.28,0,44.25
1153.281,0,44.25
1154.282,0,44.25
1155.283,0,44.5
1156.284,0,44.25
1157.285,0,44.5
1158.286,0,44.5
1159.287,0,44.5
1160.288,0,44.5
1161.289,0,44.5
1162.29,0,44.5
1163.291,0,44.5
1164.292,0,44.5
1165.293,0,44.5
1166.294,0,44.5
1167.295,0,44.75
1168.296,0,44.75
1169.297,0,44.5
1170.298,0,44.5
1171.299,0,44.5
1172.3,0,44.75
1173.301,0,44.75
1174.302,0,44.75
1175.303,0,44.5
1176.304,0,44.75
1177.305,0,44.75
1178.306,0,44.75
1179.307,0,44.75
1180.308,0,44.75
1181.309,0,44.75
1182.31,0,44.75
1183.311,0,44.75
1184.312,0,44.75
1185.313,0,44.75
1186.314,0,44.75
1187.315,0,45
1188.316,0,45
1189.317,0,45
1190.318,0,45
1191.319,0,45
1192.32,0,45
1193.321,0,45
1194.322,0,45
1195.323,0,45
1196.324,0,45
1197.325,0,45
1198.326,0,45
1199.327,0,45
1200.328,0,45
1201.329,0,45
1202.33,0,45
1203.331,0,45
1204.332,0,45
1205.333,0,45
1206.334,0,45
1207.335,0,45
1208.336,0,45
1209.337,0,45
1210.338,0,45.25
1211.339,0,45.25
1212.34,0,45
1213.341,0,45.25
1214.342,0,45.25
1215.343,0,45.25
1216.344,0,45.25
1217.345,0,45.25
1218.346,0,45.25
1219.347,0,45.25
1220.348,0,45.25
1221.349,0,45.25
1222.35,0,45.25
1223.351,0,45.25
1224.352,0,45.25
1225.353,0,45.25
1226.354,0,45.25
1227.355,0,45.25
1228.356,0,45.25
1229.357,0,45.25
1230.358,0,45.25
1231.359,0,45.25
1232.36,0,45.5
1233.361,0,45.25
1234.362,0,45.5
1235.363,0,45.5
1236.364,0,45.25
1237.365,0,45.25
1238.366,0,45.5
1239.367,0,45.5
1240.368,0,45.5
1241.369,0,45.5
1242.37,0,45.5
1243.371,0,45.5
1244.372,0,45.5
1245.373,0,45.5
1246.374,0,45.5
1247.375,0,45.5
1248.376,0,45.5
1249.377,0,45.5
1250.378,0,45.5
1251.379,0,45.5
1252.38,0,45.5
1253.381,0,45.5
1254.382,0,45.5
1255.383,0,45.5
1256.384,0,45.5
1257.385,0,45.5
1258.386,0,45.5
1259.387,0,45.75
1260.388,0,45.75
1261.389,0,45.5
1262.39,0,45.75
1263.391,0,45.75
1264.392,0,45.75
1265.393,0,45.75
1266.394,0,45.75
1267.395,0,45.75
1268.396,0,45.75
1269.397,0,45.75
1270.398,0,45.75
1271.399,0,45.75
1272.4,0,45.75
1273.401,0,45.75
1274.402,0,45.75
1275.403,0,45.75
1276.404,0,45.75
1277.405,0,45.75
1278.406,0,45.75
1279.407,0,45.75
